"","popup","lat","lng","capacity"
"54°33′51″N 001°14′49″W","Ayresome Park",54.5641666666667,-1.24694444444444,"26,667"
"53°34′08″N 002°24′58″W","Burnden Park",53.5688888888889,-2.41611111111111,"22,616"
"54°55′17″N 001°22′32″W","Roker Park",54.9213888888889,-1.37555555555556,"22,500"
"50°54′53″N 001°24′47″W","The Dell",50.9147222222222,-1.41305555555556,"15,200"
"52°37′25″N 001°08′26″W","Filbert Street",52.6236111111111,-1.14055555555556,"22,000"
"53°27′04″N 002°14′07″W","Maine Road",53.4511111111111,-2.23527777777778,"35,150"
"52°24′43″N 001°29′24″W","Highfield Road",52.4119444444444,-1.49,"23,489"
"51°33′28″N 000°06′10″W","Highbury",51.5577777777778,-0.102777777777778,"38,419"
"51°31′55″N 000°02′22″E","Boleyn Ground",51.5319444444444,0.0394444444444444,"35,345"
"51°36′12″N 000°03′57″W","White Hart Lane",51.6033333333333,-0.0658333333333333,"36,284"
"53°25′51″N 002°57′39″W","Anfield",53.4308333333333,-2.96083333333333,"54,167"
"52°59′18″N 002°10′32″W","bet365 Stadium",52.9883333333333,-2.17555555555556,"27,740"
"53°48′17″N 3°2′53″W","Bloomfield Road",53.8047222222222,-3.04805555555556,"16,220"
"53°33′19″N 002°07′43″W","Boundary Park",53.5552777777778,-2.12861111111111,"13,309"
"53°22′13″N 001°28′15″W","Bramall Lane",53.3702777777778,-1.47083333333333,"32,702"
"51°28′22″N 003°12′11″W","Cardiff City Stadium",51.4727777777778,-3.20305555555556,"26,828"
"52°37′20″N 001°18′33″E","Carrow Road",52.6222222222222,1.30916666666667,"27,033"
"52°56′24″N 001°07′58″W","City Ground",52.94,-1.13277777777778,"30,602"
"51°33′52″N 001°46′14″W","County Ground",51.5644444444444,-1.77055555555556,"14,700"
"51°28′30″N 000°13′18″W","Craven Cottage",51.475,-0.221666666666667,"25,700"
"50°44′07″N 1°50′18″W","Dean Court",50.7352777777778,-1.83833333333333,"11,700"
"53°32′51″N 002°39′15″W","DW Stadium",53.5475,-2.65416666666667,"25,138"
"53°46′40″N 001°34′20″W","Elland Road",53.7777777777778,-1.57222222222222,"39,460"
"51°33′18″N 000°06′31″W","Emirates Stadium",51.555,-0.108611111111111,"60,432"
"53°28′59″N 002°12′01″W","Etihad Stadium",53.4830555555556,-2.20027777777778,"55,000"
"53°43′43″N 002°29′21″W","Ewood Park",53.7286111111111,-2.48916666666667,"31,367"
"50°47′47″N 001°03′50″W","Fratton Park",50.7963888888889,-1.06388888888889,"20,978"
"53°26′20″N 002°57′59″W","Goodison Park",53.4388888888889,-2.96638888888889,"39,571"
"52°30′33″N 001°57′50″W","The Hawthorns",52.5091666666667,-1.96388888888889,"26,445"
"53°24′41″N 001°30′02″W","Hillsborough Stadium",53.4113888888889,-1.50055555555556,"39,812"
"53°44′46″N 000°22′03″W","KCOM Stadium",53.7461111111111,-0.3675,"25,400"
"52°37′13″N 001°08′32″W","King Power Stadium",52.6202777777778,-1.14222222222222,"32,500"
"51°38′34″N 3°56′5″W","Liberty Stadium",51.6427777777778,-3.93472222222222,"20,937"
"51°30′33″N 000°13′56″W","Loftus Road",51.5091666666667,-0.232222222222222,"18,439"
"51°32′19″N 0°0′59″W","London Stadium",51.5386111111111,-0.0163888888888889,"60,000"
"53°34′50″N 002°32′08″W","Macron Stadium",53.5805555555556,-2.53555555555556,"28,723"
"51°25′20″N 000°58′58″W","Madejski Stadium",51.4222222222222,-0.982777777777778,"24,161"
"52°35′25″N 002°07′49″W","Molineux Stadium",52.5902777777778,-2.13027777777778,"31,700"
"53°33′08″N 001°28′03″W","Oakwell",53.5522222222222,-1.4675,"23,009"
"53°27′47″N 002°17′29″W","Old Trafford",53.4630555555556,-2.29138888888889,"75,635"
"52°03′18″N 001°08′41″E","Portman Road",52.055,1.14472222222222,"30,311"
"52°54′54″N 001°26′50″W","Pride Park Stadium",52.915,-1.44722222222222,"33,597"
"54°34′42″N 001°13′01″W","Riverside Stadium",54.5783333333333,-1.21694444444444,"33,746"
"52°28′33″N 001°52′05″W","St Andrew's",52.4758333333333,-1.86805555555556,"30,079"
"54°58′32″N 001°37′18″W","St. James' Park",54.9755555555556,-1.62166666666667,"52,405"
"50°54′21″N 001°23′28″W","St Mary's Stadium",50.9058333333333,-1.39111111111111,"32,689"
"51°23′54″N 000°05′08″W","Selhurst Park",51.3983333333333,-0.0855555555555556,"26,309"
"54°54′52″N 001°23′18″W","Stadium of Light",54.9144444444444,-1.38833333333333,"49,000"
"51°28′54″N 000°11′28″W","Stamford Bridge",51.4816666666667,-0.191111111111111,"41,798"
"53°47′21″N 2°13′49″W","Turf Moor",53.7891666666667,-2.23027777777778,"22,546"
"51°29′11″N 000°02′11″E","The Valley",51.4863888888889,0.0363888888888889,"27,111"
"53°48′15″N 001°45′32″W","Valley Parade",53.8041666666667,-1.75888888888889,"25,136"
"51°39′00″N 000°24′06″W","Vicarage Road",51.65,-0.401666666666667,"21,977"
"52°30′33″N 001°53′05″W","Villa Park",52.5091666666667,-1.88472222222222,"42,682"
